nquest,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,attivp1,attivp2,attivp3,attivp4,attivp5,attivp6,attivp7,attivp8,attivp9,attivp10,attivp11,attivp12,mesilav1,mesilav2,mesilav3,mesilav4,mesilav5,mesilav6,mesilav7,mesilav8,mesilav9,mesilav10,mesilav11,mesilav12,oretot1,oretot2,oretot3,oretot4,oretot5,oretot6,oretot7,oretot8,oretot9,oretot10,oretot11,oretot12,numadd,numdip,quopro,forgiu,etaimpresa,fatlor,ym,enteprev1,enteprev2,enteprev3,enteprev4,enteprev5,enteprev6,enteprev7,enteprev8,enteprev9,enteprev10,enteprev11,enteprev12,DEBATT1,DEBATT2,NDEBATT1,NDEBATT2,DEBCOM,TDEBCOM,CREDCOM,TCREDCOM,tfr,immob,valaz,intper
31093,1,,,,,,,,,,,,1,,,,,,,,,,,,11,,,,,,,,,,,,50,,,,,,,,,,,,1,1,100,7,20,30000,15000,1,,,,,,,,,,,,2,2,,,2,,2,,20000,2,100000,1
33335,2,,,,,,,,,,,,2,,,,,,,,,,,,12,,,,,,,,,,,,15,,,,,,,,,,,,4,0,100,7,6,5000,3000,1,,,,,,,,,,,,1,2,2,,2,,2,,,1,100000,2
36250,3,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,40,,,,,,,,,,,,2,1,100,7,3,15000,7000,1,,,,,,,,,,,,2,2,,,2,,2,,2000,2,20000,1
53564,2,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,50,,,,,,,,,,,,1,0,100,7,15,35000,18000,1,,,,,,,,,,,,2,2,,,1,20000,1,5000,,2,100,1
56761,2,,,,,,,,,,,,2,,,,,,,,,,,,12,,,,,,,,,,,,20,,,,,,,,,,,,1,1,100,7,15,10000,8000,1,,,,,,,,,,,,2,2,,,2,,2,,10000,2,1000,1
505525,1,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,35,,,,,,,,,,,,4,1,33,8,50,750000,100000,1,,,,,,,,,,,,2,2,,,2,,2,,,1,1500000,1
507037,1,,,,,,,,,,,,2,,,,,,,,,,,,5,,,,,,,,,,,,6,,,,,,,,,,,,2,1,100,7,16,3000,2500,1,,,,,,,,,,,,2,2,,,2,,2,,500,2,10000,1
507419,1,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,60,,,,,,,,,,,,3,1,51,7,17,55000,30000,1,,,,,,,,,,,,2,2,,,2,,1,1000,100,1,37000,1
512452,2,3,,,,,,,,,,,1,1,,,,,,,,,,,12,12,,,,,,,,,,,30,40,,,,,,,,,,,6,3,100,5,4,60000,25000,1,1,,,,,,,,,,,2,2,,,2,,2,,6000,2,150000,1
626259,3,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,40,,,,,,,,,,,,15,14,50,1,47,30000,10000,1,,,,,,,,,,,,2,2,,,2,,2,,10000,1,100000,1
649032,1,,,,,,,,,,,,2,,,,,,,,,,,,12,,,,,,,,,,,,45,,,,,,,,,,,,1,1,100,7,42,20000,10000,1,,,,,,,,,,,,2,2,,,2,,2,,4000,1,10000,1
671152,1,,,,,,,,,,,,2,,,,,,,,,,,,12,,,,,,,,,,,,10,,,,,,,,,,,,6,3,50,1,20,30000,20000,3,,,,,,,,,,,,1,1,1,1,1,5000,1,5000,24000,1,10000,1
674196,1,,,,,,,,,,,,1,,,,,,,,,,,,11,,,,,,,,,,,,48,,,,,,,,,,,,1,0,100,7,36,18000,15000,1,,,,,,,,,,,,2,2,,,2,,2,,,1,150000,1
674868,1,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,40,,,,,,,,,,,,6,6,30,1,8,50000,10000,1,,,,,,,,,,,,2,2,,,2,,2,,20000,1,100000,1
675801,2,,,,,,,,,,,,1,,,,,,,,,,,,6,,,,,,,,,,,,35,,,,,,,,,,,,3,1,49,7,13,50000,25000,1,,,,,,,,,,,,2,2,,,2,,2,,2200,1,200000,1
675905,1,2,,,,,,,,,,,1,1,,,,,,,,,,,12,12,,,,,,,,,,,40,40,,,,,,,,,,,2,1,100,7,30,40000,35000,1,1,,,,,,,,,,,2,2,,,2,,2,,10000,2,120000,1
680060,4,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,30,,,,,,,,,,,,3,2,90,7,4,14000,11000,1,,,,,,,,,,,,2,2,,,2,,2,,5000,2,10000,1
680274,1,2,,,,,,,,,,,1,1,,,,,,,,,,,12,12,,,,,,,,,,,40,40,,,,,,,,,,,4,2,50,5,10,500000,100000,1,1,,,,,,,,,,,2,2,,,1,5000,1,3000,15000,1,3000000,1
680861,1,2,,,,,,,,,,,1,1,,,,,,,,,,,4,4,,,,,,,,,,,40,40,,,,,,,,,,,2,0,100,8,50,30000,13000,,,,,,,,,,,,,2,2,,,2,,2,,,2,5000,1
681380,1,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,40,,,,,,,,,,,,1,0,50,7,7,25000,15000,1,,,,,,,,,,,,2,2,,,2,,2,,,2,30000,1
682897,3,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,18,,,,,,,,,,,,3,2,50,8,2,90000,5000,1,,,,,,,,,,,,2,2,,,2,,1,7000,3000,2,50000,1
683373,1,2,,,,,,,,,,,2,1,,,,,,,,,,,12,12,,,,,,,,,,,60,60,,,,,,,,,,,2,0,49,7,14,30000,13000,1,1,,,,,,,,,,,2,2,,,2,,2,,,2,180000,1
701240,2,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,40,,,,,,,,,,,,4,0,25,1,10,15000,7000,1,,,,,,,,,,,,2,2,,,2,,2,,,2,10000,2
730402,1,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,48,,,,,,,,,,,,1,0,100,7,25,30000,25000,1,,,,,,,,,,,,2,2,,,2,,2,,,2,100000,1
732601,1,2,,,,,,,,,,,1,1,,,,,,,,,,,12,12,,,,,,,,,,,60,50,,,,,,,,,,,7,5,100,7,22,770000,380000,1,1,,,,,,,,,,,1,2,1,,1,365000,1,577000,51400,1,400000,1
737406,2,1,,,,,,,,,,,2,1,,,,,,,,,,,5,12,,,,,,,,,,,40,40,,,,,,,,,,,5,4,100,7,50,125000,25000,1,,,,,,,,,,,,2,2,,,2,,2,,5000,1,750000,1
806583,1,2,,,,,,,,,,,1,1,,,,,,,,,,,12,12,,,,,,,,,,,70,70,,,,,,,,,,,2,0,50,8,28,22000,9600,1,1,,,,,,,,,,,2,2,,,2,,2,,,2,120000,1
826687,2,3,,,,,,,,,,,1,1,,,,,,,,,,,12,1,,,,,,,,,,,63,1,,,,,,,,,,,2,1,100,7,57,24000,7000,1,1,,,,,,,,,,,2,2,,,2,,1,500,,2,20000,1
827647,2,,,,,,,,,,,,1,,,,,,,,,,,,11,,,,,,,,,,,,40,,,,,,,,,,,,1,0,100,7,4,22000,18000,1,,,,,,,,,,,,2,2,,,2,,2,,,2,25000,1
854858,1,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,70,,,,,,,,,,,,1,0,100,7,32,9600,7700,1,,,,,,,,,,,,2,2,,,2,,2,,,2,100000,1
855991,2,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,44,,,,,,,,,,,,2,1,100,7,25,36000,24000,1,,,,,,,,,,,,2,2,,,2,,2,,10000,2,100000,1
856297,1,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,50,,,,,,,,,,,,7,5,10,7,17,190000,120000,13,,,,,,,,,,,,2,2,,,2,,2,,90000,2,1500000,1
859592,3,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,50,,,,,,,,,,,,1,1,100,7,6,15000,7000,1,,,,,,,,,,,,2,2,,,2,,2,,,2,35000,1
859616,1,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,12,,,,,,,,,,,,3,2,90,1,10,50000,14000,1,,,,,,,,,,,,2,2,,,2,,2,,10000,2,180000,1
859993,1,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,50,,,,,,,,,,,,3,2,100,1,19,200000,35000,1,,,,,,,,,,,,2,2,,,2,,2,,,2,0,1
860525,1,2,,,,,,,,,,,1,1,,,,,,,,,,,12,12,,,,,,,,,,,25,60,,,,,,,,,,,2,0,50,1,5,50000,25000,1,1,,,,,,,,,,,1,2,1,,2,,1,150000,,2,200000,1
860985,1,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,55,,,,,,,,,,,,5,2,100,8,28,45000,36000,1,,,,,,,,,,,,2,2,,,2,,2,,40000,1,200000,1
863402,1,2,,,,,,,,,,,2,2,,,,,,,,,,,11,3,,,,,,,,,,,11,3,,,,,,,,,,,2,0,100,7,17,25000,18000,1,1,,,,,,,,,,,2,2,,,1,5000,1,5000,,2,30000,1
865483,1,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,40,,,,,,,,,,,,1,0,100,7,12,25000,11000,1,,,,,,,,,,,,2,2,,,2,,1,2500,,2,100000,1
866382,2,,,,,,,,,,,,2,,,,,,,,,,,,12,,,,,,,,,,,,30,,,,,,,,,,,,1,1,100,4,10,26000,5000,1,,,,,,,,,,,,2,2,,,2,,2,,20000,2,40000,1
866507,1,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,50,,,,,,,,,,,,2,1,100,7,18,60000,40000,1,,,,,,,,,,,,2,2,,,2,,2,,10000,1,150000,1
871237,1,,,,,,,,,,,,1,,,,,,,,,,,,9,,,,,,,,,,,,40,,,,,,,,,,,,1,0,100,7,42,25000,12000,1,,,,,,,,,,,,2,2,,,2,,2,,,1,50000,1
872646,1,,,,,,,,,,,,1,,,,,,,,,,,,6,,,,,,,,,,,,35,,,,,,,,,,,,2,1,100,7,12,20000,15000,1,,,,,,,,,,,,2,2,,,2,,1,1000,1500,2,15000,1
875217,1,2,,,,,,,,,,,1,1,,,,,,,,,,,6,6,,,,,,,,,,,60,60,,,,,,,,,,,2,0,50,8,25,25000,10000,1,1,,,,,,,,,,,2,2,,,2,,2,,,1,90000,1
876079,2,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,25,,,,,,,,,,,,2,0,100,7,5,40000,18000,1,,,,,,,,,,,,2,2,,,2,,1,45000,,1,500000,1
876587,2,,,,,,,,,,,,1,,,,,,,,,,,,11,,,,,,,,,,,,45,,,,,,,,,,,,1,0,100,7,16,20000,14000,1,,,,,,,,,,,,2,2,,,2,,2,,,2,20000,1
877662,1,,,,,,,,,,,,2,,,,,,,,,,,,12,,,,,,,,,,,,45,,,,,,,,,,,,2,0,100,7,60,30000,15000,1,,,,,,,,,,,,2,2,,,2,,2,,,1,100000,1
878617,1,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,40,,,,,,,,,,,,10,9,90,1,10,70000,50000,1,,,,,,,,,,,,2,2,,,2,,2,,45000,1,600000,1
879568,1,2,3,,,,,,,,,,1,1,1,,,,,,,,,,7,12,12,,,,,,,,,,50,40,16,,,,,,,,,,3,2,50,8,1,15000,0,1,1,1,,,,,,,,,,2,2,,,2,,2,,3000,2,60000,1
880884,2,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,30,,,,,,,,,,,,4,2,100,5,16,600000,150000,13,,,,,,,,,,,,2,2,,,2,,2,,20000,2,480000,1
883382,3,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,50,,,,,,,,,,,,1,0,100,7,60,16000,10000,1,,,,,,,,,,,,2,2,,,2,,2,,,1,80000,1
883886,1,,,,,,,,,,,,1,,,,,,,,,,,,11,,,,,,,,,,,,40,,,,,,,,,,,,2,0,50,7,44,70000,50000,1,,,,,,,,,,,,2,2,,,2,,2,,,2,150000,1
886347,2,1,,,,,,,,,,,1,1,,,,,,,,,,,12,12,,,,,,,,,,,60,60,,,,,,,,,,,3,0,50,7,19,100000,45000,1,,,,,,,,,,,,2,2,,,2,,2,,,2,75000,1
891073,1,,,,,,,,,,,,2,,,,,,,,,,,,12,,,,,,,,,,,,6,,,,,,,,,,,,1,0,100,1,10,10000,5000,1,,,,,,,,,,,,2,2,,,2,,2,,,2,50000,1
891447,1,2,,,,,,,,,,,1,1,,,,,,,,,,,12,12,,,,,,,,,,,54,30,,,,,,,,,,,2,0,50,8,60,48000,20000,1,1,,,,,,,,,,,2,2,,,2,,2,,,1,350000,1
899549,1,2,,,,,,,,,,,1,1,,,,,,,,,,,12,12,,,,,,,,,,,50,50,,,,,,,,,,,2,0,100,7,30,24000,16000,1,1,,,,,,,,,,,2,2,,,2,,2,,,1,50000,1
899553,1,2,,,,,,,,,,,1,1,,,,,,,,,,,12,12,,,,,,,,,,,60,60,,,,,,,,,,,2,0,100,7,40,35000,23000,1,1,,,,,,,,,,,2,2,,,2,,2,,,1,500000,1
901968,1,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,20,,,,,,,,,,,,2,2,100,7,65,50000,24000,1,,,,,,,,,,,,2,2,,,2,,2,,15000,2,200000,1
902915,1,2,,,,,,,,,,,1,1,,,,,,,,,,,12,12,,,,,,,,,,,60,48,,,,,,,,,,,2,1,100,7,31,100000,40000,1,,,,,,,,,,,,2,2,,,2,,2,,5000,1,10000,1
903523,2,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,40,,,,,,,,,,,,5,1,20,1,15,20000,20000,1,,,,,,,,,,,,2,2,,,2,,2,,140000,2,0,1
905069,2,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,40,,,,,,,,,,,,6,3,30,8,30,15000,5000,1,,,,,,,,,,,,2,2,,,2,,2,,10000,1,50000,1
907692,2,,,,,,,,,,,,2,,,,,,,,,,,,12,,,,,,,,,,,,45,,,,,,,,,,,,2,1,70,7,2,50000,20000,1,,,,,,,,,,,,2,2,,,1,25000,1,34000,26000,2,40000,1
908051,1,3,4,,,,,,,,,,1,1,1,,,,,,,,,,12,12,12,,,,,,,,,,35,40,40,,,,,,,,,,4,1,33,6,4,36000,24000,1,1,1,,,,,,,,,,2,2,,,1,5000,1,1000,1200,2,15000,1
908973,1,,,,,,,,,,,,1,,,,,,,,,,,,8,,,,,,,,,,,,40,,,,,,,,,,,,1,0,100,7,55,20000,11500,1,,,,,,,,,,,,1,2,1,,2,,1,3500,,1,110000,1
909259,1,2,,,,,,,,,,,1,1,,,,,,,,,,,12,12,,,,,,,,,,,45,45,,,,,,,,,,,4,2,100,7,50,80000,25000,1,1,,,,,,,,,,,1,2,1,,2,,2,,20000,1,500000,1
910827,1,2,,,,,,,,,,,1,1,,,,,,,,,,,12,12,,,,,,,,,,,70,70,,,,,,,,,,,3,1,50,7,55,125000,60000,1,1,,,,,,,,,,,2,2,,,1,1500,1,4000,23000,1,60000,1
911067,1,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,60,,,,,,,,,,,,2,0,50,7,30,60000,30000,1,,,,,,,,,,,,2,2,,,2,,2,,,1,200000,1
911078,1,,,,,,,,,,,,1,,,,,,,,,,,,11,,,,,,,,,,,,24,,,,,,,,,,,,2,0,100,7,50,27000,19000,1,,,,,,,,,,,,2,2,,,2,,2,,,1,47000,1
911115,1,2,3,,,,,,,,,,1,1,1,,,,,,,,,,12,12,12,,,,,,,,,,60,60,60,,,,,,,,,,3,0,100,8,30,32000,18000,1,1,1,,,,,,,,,,2,2,,,2,,2,,,1,250000,1
911332,1,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,50,,,,,,,,,,,,2,0,50,4,27,20000,20000,2,,,,,,,,,,,,2,2,,,2,,2,,,1,100000,1
912778,2,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,60,,,,,,,,,,,,1,0,100,7,25,32000,20000,1,,,,,,,,,,,,2,2,,,2,,2,,,1,70000,1
913396,1,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,50,,,,,,,,,,,,2,1,100,7,15,50000,20000,1,,,,,,,,,,,,2,2,,,2,,2,,6000,2,30000,1
913447,1,2,,,,,,,,,,,1,1,,,,,,,,,,,12,12,,,,,,,,,,,55,40,,,,,,,,,,,6,3,35,1,20,36000,20000,1,1,,,,,,,,,,,2,2,,,2,,1,24000,40000,1,200000,1
913777,2,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,45,,,,,,,,,,,,2,0,100,7,50,14000,9500,1,,,,,,,,,,,,2,2,,,2,,2,,,1,50000,1
913902,1,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,60,,,,,,,,,,,,1,0,100,7,50,25000,16000,1,,,,,,,,,,,,2,2,,,2,,2,,,1,300000,1
913926,1,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,25,,,,,,,,,,,,2,0,100,7,50,18000,14000,1,,,,,,,,,,,,2,2,,,2,,2,,,1,100000,1
913965,1,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,50,,,,,,,,,,,,1,0,100,7,20,30000,15000,1,,,,,,,,,,,,2,2,,,2,,2,,,2,0,1
914509,1,2,,,,,,,,,,,1,2,,,,,,,,,,,12,1,,,,,,,,,,,45,1,,,,,,,,,,,9,5,10,5,50,15000,9000,1,1,,,,,,,,,,,1,2,2,,2,,2,,40000,1,100000,1
914798,1,2,3,,,,,,,,,,1,1,1,,,,,,,,,,12,12,12,,,,,,,,,,60,50,70,,,,,,,,,,4,1,100,8,15,30000,24000,1,1,1,,,,,,,,,,2,2,,,2,,2,,20000,1,100000,1
915251,2,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,20,,,,,,,,,,,,3,0,10,8,8,,,1,,,,,,,,,,,,2,2,,,2,,2,,,1,5000,2
915481,2,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,50,,,,,,,,,,,,4,1,20,8,30,20000,10000,1,,,,,,,,,,,,2,2,,,2,,2,,5000,2,100000,2
915680,2,,,,,,,,,,,,1,,,,,,,,,,,,11,,,,,,,,,,,,48,,,,,,,,,,,,1,0,100,1,21,22000,15000,1,,,,,,,,,,,,2,2,,,2,,2,,,2,35000,1
915705,1,2,,,,,,,,,,,1,1,,,,,,,,,,,12,12,,,,,,,,,,,56,56,,,,,,,,,,,2,0,50,7,15,27000,14000,1,1,,,,,,,,,,,2,2,,,2,,2,,,2,20000,1
915723,2,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,50,,,,,,,,,,,,1,0,100,7,20,35000,26000,1,,,,,,,,,,,,2,2,,,2,,2,,,2,120000,2
915885,1,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,20,,,,,,,,,,,,5,2,100,7,20,50000,25000,1,,,,,,,,,,,,2,1,,1,2,,2,,20000,2,100000,1
916173,2,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,50,,,,,,,,,,,,1,0,50,7,70,4500,2000,1,,,,,,,,,,,,2,2,,,2,,2,,,1,150000,2
917247,1,2,,,,,,,,,,,1,1,,,,,,,,,,,12,12,,,,,,,,,,,50,50,,,,,,,,,,,3,3,100,7,44,60000,30000,1,1,,,,,,,,,,,2,2,,,2,,2,,20000,1,300000,1
918149,1,2,,,,,,,,,,,1,1,,,,,,,,,,,12,12,,,,,,,,,,,45,30,,,,,,,,,,,3,0,50,7,25,125000,43000,1,1,,,,,,,,,,,1,1,1,1,2,,1,12000,,1,85000,1
918377,1,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,48,,,,,,,,,,,,1,0,100,7,3,30000,11000,1,,,,,,,,,,,,2,2,,,1,5000,1,5000,,2,10000,1
920246,1,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,50,,,,,,,,,,,,2,0,100,7,40,40000,18000,1,,,,,,,,,,,,2,2,,,2,,2,,,1,250000,1
920875,1,,,,,,,,,,,,2,,,,,,,,,,,,12,,,,,,,,,,,,5,,,,,,,,,,,,1,0,100,8,15,3000,1000,1,,,,,,,,,,,,2,2,,,2,,2,,,2,0,1
921275,3,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,50,,,,,,,,,,,,1,1,100,7,3,30000,10000,1,,,,,,,,,,,,2,2,,,1,3500,2,,,1,60000,3
922516,1,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,46,,,,,,,,,,,,1,0,100,7,32,30000,14000,1,,,,,,,,,,,,2,2,,,1,16000,1,3000,,1,30000,1
923305,4,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,45,,,,,,,,,,,,1,1,100,7,35,60000,20000,1,,,,,,,,,,,,2,2,,,2,,2,,15000,2,90,1
923406,2,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,50,,,,,,,,,,,,2,1,100,7,50,20000,10000,1,,,,,,,,,,,,2,2,,,2,,2,,10000,2,10000,2
923419,1,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,40,,,,,,,,,,,,2,0,50,5,3,50000,35000,1,,,,,,,,,,,,2,2,,,2,,2,,,2,15000,1
923542,2,1,,,,,,,,,,,1,1,,,,,,,,,,,12,12,,,,,,,,,,,30,30,,,,,,,,,,,2,0,10,7,42,55000,20000,1,,,,,,,,,,,,2,2,,,2,,2,,,1,0,1
924005,1,,,,,,,,,,,,2,,,,,,,,,,,,9,,,,,,,,,,,,20,,,,,,,,,,,,4,0,70,8,15,15000,3000,2,,,,,,,,,,,,2,2,,,2,,2,,,2,5000,1
924156,3,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,45,,,,,,,,,,,,1,1,90,8,30,20000,5000,2,,,,,,,,,,,,2,2,,,2,,2,,6000,2,10000,2
924161,3,,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,36,,,,,,,,,,,,2,2,80,7,40,30000,10000,1,,,,,,,,,,,,2,2,,,2,,2,,1200,2,200000,1
924323,1,2,,,,,,,,,,,1,1,,,,,,,,,,,12,12,,,,,,,,,,,48,36,,,,,,,,,,,3,1,100,7,9,15000,7000,1,1,,,,,,,,,,,2,2,,,2,,2,,2000,1,20000,1
927381,2,3,,,,,,,,,,,1,1,,,,,,,,,,,12,12,,,,,,,,,,,12,70,,,,,,,,,,,3,1,100,7,20,30000,30000,1,1,,,,,,,,,,,2,2,,,2,,2,,2000,2,50000,2
928483,2,1,,,,,,,,,,,1,1,,,,,,,,,,,12,12,,,,,,,,,,,45,60,,,,,,,,,,,2,0,100,7,7,40000,20000,1,1,,,,,,,,,,,2,2,,,2,,2,,,2,150000,1
