nquest,motusc,annoenus,nordp
22169,4,2016,3
22624,4,2016,3
24382,1,2016,2
27116,1,2016,1
27734,4,2016,3
27742,4,2016,2
28802,4,2015,3
31665,1,2015,2
31695,4,2016,3
32320,3,2015,3
32703,1,2016,2
33644,4,2015,2
33937,4,2015,3
33985,5,2015,3
34825,4,2015,3
35022,3,2015,4
35349,1,2016,1
35374,1,2016,1
35600,1,2016,1
35788,4,2015,3
36130,4,2016,3
36333,3,2015,3
36333,1,2016,4
36409,3,2015,3
37299,4,2016,3
38014,4,2015,3
38095,4,2016,3
38106,1,2015,2
38316,4,2016,3
38349,5,2015,3
38939,4,2015,2
38992,4,2015,3
39095,4,2015,2
39317,5,2015,1
39317,5,2015,2
39317,5,2015,4
50231,4,2015,3
50232,1,2015,2
52700,4,2015,2
53008,4,2015,3
53549,4,2015,3
53564,1,2015,2
53564,3,2015,3
53596,4,2016,2
55636,4,2016,3
56563,1,2016,3
56603,2,2015,3
56624,4,2016,3
56721,4,2016,3
57042,4,2015,3
57138,1,2016,1
57670,3,2015,2
57670,3,2015,3
57670,3,2015,4
57670,3,2015,5
57670,3,2015,6
57962,4,2016,3
57962,4,2016,4
111052,3,2015,3
145007,4,2015,3
310005,1,2016,1
332080,1,2015,3
500669,4,2016,3
503931,4,2015,3
503950,4,2016,3
503981,1,2015,2
504363,2,2015,2
504453,4,2016,3
504584,4,2016,2
505243,4,2016,3
505390,4,2015,3
505672,5,2016,3
505768,4,2016,3
505768,3,2016,4
506112,1,2016,1
506613,1,2016,1
506628,1,2015,6
507037,3,2015,3
507182,4,2016,3
507336,3,2015,3
507544,5,2015,3
507644,1,2015,3
507908,1,2015,2
508861,4,2015,3
509550,2,2016,3
510239,5,2015,3
510432,1,2016,2
510984,4,2015,2
510984,4,2015,3
511116,4,2016,2
511116,4,2016,3
511130,1,2015,1
511474,3,2015,4
511474,3,2015,6
511474,3,2015,7
511494,1,2015,2
512372,1,2016,2
512517,5,2015,2
512517,5,2015,3
512574,1,2015,1
512807,4,2015,2
512807,4,2015,3
512897,3,2015,2
513406,4,2015,3
513428,4,2016,2
611774,5,2015,2
612423,1,2016,1
614683,4,2015,3
617231,1,2016,2
625536,4,2016,2
625536,4,2016,3
625983,4,2015,3
631306,1,2016,2
631306,4,2015,4
631306,5,2015,7
631712,4,2015,5
633654,4,2016,3
633654,4,2016,4
639013,4,2015,2
640954,1,2015,2
641628,1,2015,2
670853,4,2015,2
671105,1,2015,2
671136,4,2016,4
671200,5,2015,3
671733,3,2016,3
672142,4,2016,3
672142,4,2015,4
672430,1,2015,2
672580,4,2016,3
673050,1,2015,3
674237,1,2016,1
674239,4,2015,3
674281,4,2015,3
674686,1,2015,5
675656,4,2015,4
675953,4,2015,3
675983,4,2015,3
676060,1,2015,2
676807,1,2015,2
676851,3,2015,3
677112,3,2015,2
677475,5,2015,3
678214,1,2016,2
680143,5,2015,1
680144,4,2016,3
680144,4,2016,4
681329,4,2015,2
681349,4,2015,3
681477,4,2016,3
682169,1,2015,1
682170,3,2015,3
682363,5,2015,2
682457,4,2015,3
682532,3,2015,4
682732,3,2016,3
682743,2,2016,2
682782,1,2016,2
683437,4,2015,2
683645,4,2015,3
683645,3,2015,4
683664,3,2016,3
683675,5,2015,4
683675,5,2015,5
683675,5,2015,6
683782,4,2015,3
683861,1,2015,2
684000,4,2016,3
684063,4,2016,3
684279,4,2015,2
684279,4,2015,3
684423,4,2015,3
685024,3,2016,1
685024,3,2016,3
685058,3,2015,2
685058,3,2015,3
685454,1,2015,2
685528,4,2016,2
685905,2,2016,3
685905,2,2016,4
685905,2,2016,5
685965,4,2015,4
685965,4,2015,6
686190,1,2015,2
686190,4,2015,3
686657,1,2015,2
686657,4,2015,3
686898,1,2016,2
687039,1,2015,2
687938,2,2015,2
688159,4,2016,3
688226,5,2016,5
688277,4,2016,3
701638,1,2016,2
704832,4,2015,3
706224,4,2015,4
706224,4,2015,5
706629,1,2015,2
707541,5,2015,2
709803,4,2015,3
712219,1,2015,2
715065,2,2016,2
715782,3,2015,2
716937,4,2015,3
717312,4,2015,3
717312,4,2015,5
717312,4,2015,6
717801,4,2015,3
718674,4,2015,3
718764,3,2015,4
719611,4,2016,3
719656,1,2016,3
719763,4,2015,2
719763,4,2015,4
719810,4,2015,3
720163,4,2015,2
720634,4,2016,3
720889,1,2015,1
721777,4,2015,3
722743,1,2016,2
722875,3,2015,1
724307,1,2016,2
730333,4,2015,2
730901,1,2015,2
731178,4,2016,3
733351,4,2015,3
735143,4,2016,3
800135,4,2015,3
800135,5,2015,4
800135,5,2015,5
800901,4,2015,3
800999,4,2016,1
800999,4,2016,3
801803,4,2015,3
801806,4,2015,3
801972,4,2016,3
801972,5,2016,4
801986,1,2016,1
802332,5,2015,1
802332,5,2015,2
802332,5,2015,4
802349,1,2016,2
802451,3,2015,2
802914,3,2015,2
804880,4,2015,3
804880,4,2015,4
804880,4,2015,5
804880,4,2015,6
805100,3,2016,3
805264,4,2015,3
805449,3,2015,4
805475,5,2016,1
805664,1,2015,1
806540,3,2016,3
806993,3,2015,2
807066,3,2016,3
807303,4,2015,3
808169,4,2016,3
810099,1,2015,2
811506,4,2015,3
812043,5,2015,2
813141,1,2016,1
815896,4,2016,3
817749,1,2015,1
819653,1,2015,3
819972,4,2015,3
820115,1,2016,2
820171,3,2016,3
820171,3,2016,5
820171,3,2016,6
823488,4,2015,4
823993,1,2015,2
825849,1,2016,2
826006,4,2016,3
826006,4,2016,5
826234,3,2016,2
826427,5,2015,2
827847,4,2016,3
851982,3,2016,2
852021,5,2015,3
852021,5,2015,4
852021,5,2015,5
852283,1,2016,5
852554,4,2015,2
852595,2,2015,2
852595,3,2015,3
852762,1,2016,1
853318,4,2016,1
853849,1,2015,2
853911,4,2015,3
854058,4,2015,3
854163,4,2016,3
854460,1,2015,2
854554,1,2016,1
855035,4,2015,4
855238,4,2015,3
855268,1,2016,1
855268,5,2016,3
855468,4,2015,3
855468,5,2016,4
856128,4,2015,3
857466,4,2015,3
859244,4,2015,3
859993,1,2015,2
860127,4,2016,2
860182,5,2015,2
860328,1,2016,1
860573,4,2016,3
860573,3,2016,4
860799,4,2015,3
861578,1,2016,1
861752,4,2015,5
862003,4,2016,3
862146,3,2015,4
862302,4,2015,3
862416,4,2015,2
863397,4,2015,3
864133,4,2015,3
864482,4,2015,2
865357,1,2016,2
866387,4,2016,2
866541,3,2016,2
866541,3,2016,3
866541,3,2016,4
866541,3,2016,5
866541,3,2016,6
866985,1,2016,1
867275,4,2015,3
867462,4,2016,3
867505,1,2015,2
867686,1,2016,2
867799,4,2015,2
868165,4,2015,3
868583,4,2016,3
871009,1,2015,5
871320,4,2016,3
871395,1,2016,4
871442,1,2016,2
871470,4,2016,3
871470,4,2016,4
871470,4,2016,5
871470,2,2016,6
871517,1,2015,2
872027,4,2016,3
872027,4,2016,4
872077,4,2015,4
872077,4,2015,5
872112,1,2015,2
872367,4,2016,3
872619,4,2016,3
872646,4,2016,3
872661,4,2016,3
872710,4,2015,2
872794,1,2016,2
872795,1,2016,2
872924,1,2016,2
873042,4,2015,3
873224,1,2016,1
873390,3,2015,2
873788,5,2015,3
874134,5,2015,2
874392,4,2016,4
874681,5,2015,2
874681,5,2015,3
874756,4,2015,4
874947,1,2016,2
875017,1,2016,1
875020,1,2015,1
875100,3,2015,2
875224,1,2015,4
875280,5,2016,2
875280,4,2016,3
875281,4,2016,2
875382,4,2016,3
875382,4,2016,4
875426,5,2015,4
875523,4,2016,2
875623,3,2016,2
875817,3,2015,2
876069,5,2016,5
876125,4,2015,3
876542,1,2016,2
876571,1,2015,2
876666,3,2015,4
876703,1,2015,1
876799,5,2015,2
876799,5,2015,3
876806,1,2015,2
876833,1,2016,1
877083,5,2015,2
877784,5,2015,2
878002,1,2015,4
878011,5,2015,2
878011,5,2015,4
878022,4,2016,3
878503,4,2015,2
878503,4,2016,3
878506,4,2015,3
878738,5,2016,2
878738,5,2016,3
878738,5,2016,4
878750,1,2015,1
879391,3,2015,3
879449,4,2016,3
879494,1,2015,2
879507,4,2016,3
879565,4,2015,4
879620,4,2016,3
879681,5,2015,3
880431,4,2015,3
880431,4,2015,4
880431,4,2015,5
881188,1,2015,1
881480,4,2016,2
881554,1,2015,1
881566,1,2015,2
881884,4,2015,3
882048,4,2015,3
882057,4,2016,2
882117,1,2015,2
882117,5,2015,3
882515,4,2015,3
882561,4,2015,3
882652,4,2015,2
883157,4,2015,3
883182,4,2016,2
883228,3,2015,3
883322,4,2015,3
883356,4,2015,3
883392,3,2016,4
883642,5,2015,2
883762,4,2015,3
883800,4,2015,2
883969,4,2015,3
884032,3,2015,1
884294,3,2015,3
884294,3,2015,4
884294,3,2015,5
884537,3,2015,3
884537,4,2016,5
885014,1,2016,1
885040,4,2015,2
885040,3,2015,3
885353,4,2015,2
885633,4,2015,2
885698,1,2015,2
886233,3,2015,2
886273,3,2015,3
886419,3,2016,3
886443,4,2015,3
886529,3,2015,3
886606,4,2015,2
886606,3,2015,3
886741,4,2015,2
886851,4,2015,3
887498,5,2015,3
887734,4,2016,3
887964,1,2016,2
888185,4,2016,4
888695,4,2015,2
889047,4,2015,2
889047,4,2015,3
889109,1,2015,2
889294,4,2015,2
889497,3,2016,3
889577,1,2015,3
889709,1,2016,1
889714,4,2015,2
889727,5,2015,2
889739,3,2015,2
890030,3,2016,3
890573,5,2015,2
890871,4,2015,4
890880,3,2015,2
891073,5,2016,3
891320,1,2015,3
891435,4,2016,2
891676,2,2015,3
891688,4,2015,3
891688,4,2016,4
891724,4,2015,2
891724,4,2015,3
891835,4,2016,3
891882,4,2015,2
891882,4,2015,3
892181,1,2016,3
892676,1,2016,3
892884,1,2016,2
892972,1,2015,2
892985,1,2015,1
893016,4,2015,2
893240,1,2015,2
893973,3,2016,3
894140,4,2015,3
894140,3,2015,4
894208,4,2016,3
894506,4,2015,3
894884,4,2015,3
894887,5,2015,5
895073,5,2016,3
895184,4,2015,3
895774,1,2015,3
896079,4,2016,2
896124,1,2016,2
896277,2,2015,3
896353,4,2015,3
896404,4,2016,3
896570,3,2016,3
896591,5,2016,2
896591,5,2016,3
896988,1,2016,2
897397,1,2016,2
897676,3,2016,2
897683,4,2015,3
897853,5,2015,2
897893,4,2015,3
897935,1,2016,1
898053,4,2016,2
898053,4,2016,3
898071,1,2016,2
898590,1,2015,2
898590,2,2015,3
898674,4,2016,3
898678,3,2016,3
899500,4,2016,5
899539,1,2016,1
899546,4,2016,3
899546,4,2016,4
900597,1,2015,2
900614,4,2016,3
900638,4,2015,2
900638,4,2015,3
900638,4,2015,4
900638,4,2015,5
900732,3,2016,2
900829,4,2016,4
900829,4,2016,5
901445,1,2015,2
901582,3,2015,3
901608,1,2016,2
901608,5,2015,3
901635,5,2015,3
901635,5,2015,4
901761,3,2015,5
901767,3,2016,2
901767,3,2016,3
901879,5,2015,4
901879,5,2015,6
901879,5,2015,9
901955,5,2015,3
901955,5,2015,4
901965,1,2016,2
902050,5,2015,2
902575,4,2016,3
902575,5,2016,6
902575,5,2016,7
902575,5,2016,8
902869,4,2016,3
902916,1,2016,4
903045,4,2015,3
903523,4,2015,4
903656,4,2015,3
903873,4,2015,2
903873,4,2015,3
903904,1,2016,2
904014,1,2015,1
904058,1,2016,3
904116,4,2016,4
904128,4,2015,3
904128,4,2016,4
904323,5,2016,2
904323,5,2016,3
904323,5,2016,4
904480,1,2015,2
904491,3,2015,2
904723,3,2015,3
904907,4,2015,2
905073,4,2016,3
905076,1,2016,2
905136,3,2015,3
905311,5,2015,2
905662,3,2016,5
906031,4,2015,3
906049,4,2015,3
906436,5,2016,2
906466,4,2015,2
906503,5,2016,2
906887,4,2015,3
906946,4,2015,3
907076,1,2016,1
907544,1,2016,2
907637,4,2016,2
907637,4,2016,3
907644,2,2016,2
907715,3,2015,2
907726,4,2015,3
907852,4,2016,2
907890,5,2016,2
908214,1,2016,2
908787,1,2015,2
909188,3,2015,3
909188,4,2015,4
909250,4,2015,4
909259,4,2015,3
909441,1,2015,3
909442,2,2015,4
909471,5,2016,2
909480,3,2015,2
909493,4,2016,3
909493,5,2016,4
